run	ms
798	419
799	350
800	315
801	313
802	350
803	383
804	334
805	326
806	311
807	424
808	356
809	336
810	357
811	345
812	370
813	465
814	398
815	350
816	315
817	291
818	359
819	358
820	328
821	346
822	358
823	382
824	308
825	309
826	312
827	335
828	295
829	305
830	404
831	337
832	413
833	494
834	341
835	345
836	362
837	355
838	306
839	356
840	382
841	399
842	391
843	362
844	285
845	295
846	319
847	310
848	311
849	336
850	333
851	307
852	312
853	303
854	348
855	475
856	340
857	367
858	745
859	404
860	355
861	352
862	371
863	331
864	336
865	419
866	305
867	315
868	323
869	538
870	422
871	380
872	325
873	308
874	326
875	300
876	317
877	311
878	293
879	421
880	350
881	356
882	334
883	303
884	299
885	306
886	303
887	327
888	324
889	437
890	338
891	322
892	374
893	405
894	327
895	410
896	389
897	307
898	321
899	341
900	306
901	317
902	317
903	305
904	353
905	351
906	366
907	326
908	300
909	518
910	516
911	441
912	329
913	336
914	305
915	340
916	410
917	378
918	321
919	315
920	317
921	293
922	355
923	301
924	319
925	481
926	323
927	320
928	300
929	309
930	414
931	380
932	313
933	340
934	312
935	329
936	326
937	316
938	310
939	304
940	303
941	320
942	340
943	574
944	407
945	385
946	418
947	336
948	328
949	337
950	335
951	300
952	1789
953	324
954	300
955	334
956	736
957	299
958	316
959	307
960	294
961	337
962	299
963	289
964	293
965	314
966	345
967	332
968	319
969	320
970	303
971	310
972	291
973	303
974	306
975	354
976	335
977	295
978	311
979	315
980	309
981	317
982	330
983	386
984	310
985	338
986	328
987	299
988	504
989	284
990	493
991	312
992	331
993	340
994	321
995	302
996	306
997	367
998	309
999	442
1000	510
